07-02 23:37:12 : INFO : collecting all words and their counts
07-02 23:37:12 : INFO : PROGRESS: at sentence #0, processed 0 words, keeping 0 word types
07-02 23:54:06 : INFO : PROGRESS: at sentence #10000, processed 11210887 words, keeping 458766 word types
07-03 00:09:28 : INFO : collecting all words and their counts
07-03 00:09:28 : INFO : PROGRESS: at sentence #0, processed 0 words, keeping 0 word types
07-03 00:20:20 : INFO : PROGRESS: at sentence #10000, processed 5627897 words, keeping 305866 word types
07-03 00:31:47 : INFO : PROGRESS: at sentence #20000, processed 11138468 words, keeping 468434 word types
07-03 00:32:20 : INFO : collected 475336 word types from a corpus of 11408612 raw words and 20494 sentences
07-03 00:32:20 : INFO : Loading a fresh vocabulary
07-03 00:32:20 : INFO : min_count=20 retains 43470 unique words (9% of original 475336, drops 431866)
07-03 00:32:20 : INFO : min_count=20 leaves 10331512 word corpus (90% of original 11408612, drops 1077100)
07-03 00:32:20 : INFO : deleting the raw counts dictionary of 475336 items
07-03 00:32:20 : INFO : sample=0.001 downsamples 16 most-common words
07-03 00:32:20 : INFO : downsampling leaves estimated 10152934 word corpus (98.3% of prior 10331512)
07-03 00:32:20 : INFO : estimated required memory for 43470 words and 300 dimensions: 126063000 bytes
07-03 00:32:20 : INFO : resetting layer weights
07-03 00:32:27 : INFO : training model with 6 workers on 43470 vocabulary and 300 features, using sg=0 hs=0 sample=0.001 negative=5 window=2
07-03 00:33:45 : INFO : EPOCH 1 - PROGRESS: at 5.42% examples, 7151 words/s, in_qsize 0, out_qsize 0
07-03 00:33:47 : INFO : EPOCH 1 - PROGRESS: at 5.51% examples, 7095 words/s, in_qsize 0, out_qsize 0
07-03 00:33:48 : INFO : EPOCH 1 - PROGRESS: at 5.59% examples, 7089 words/s, in_qsize 0, out_qsize 0
07-03 00:33:49 : INFO : EPOCH 1 - PROGRESS: at 5.67% examples, 7063 words/s, in_qsize 0, out_qsize 0
07-03 00:33:50 : INFO : EPOCH 1 - PROGRESS: at 5.75% examples, 7073 words/s, in_qsize 0, out_qsize 0
07-03 00:33:52 : INFO : EPOCH 1 - PROGRESS: at 5.84% examples, 7046 words/s, in_qsize 0, out_qsize 0
07-03 00:33:53 : INFO : EPOCH 1 - PROGRESS: at 5.92% examples, 7037 words/s, in_qsize 0, out_qsize 0
07-03 00:33:54 : INFO : EPOCH 1 - PROGRESS: at 6.00% examples, 7044 words/s, in_qsize 0, out_qsize 0
07-03 00:33:56 : INFO : EPOCH 1 - PROGRESS: at 6.08% examples, 7034 words/s, in_qsize 0, out_qsize 0
07-03 00:33:57 : INFO : EPOCH 1 - PROGRESS: at 6.16% examples, 7015 words/s, in_qsize 0, out_qsize 0
07-03 00:33:58 : INFO : EPOCH 1 - PROGRESS: at 6.25% examples, 7003 words/s, in_qsize 0, out_qsize 0
07-03 00:34:01 : INFO : EPOCH 1 - PROGRESS: at 6.42% examples, 7014 words/s, in_qsize 0, out_qsize 0
07-03 00:34:02 : INFO : EPOCH 1 - PROGRESS: at 6.50% examples, 7006 words/s, in_qsize 0, out_qsize 0
07-03 00:34:03 : INFO : EPOCH 1 - PROGRESS: at 6.58% examples, 7013 words/s, in_qsize 0, out_qsize 0
07-03 00:34:04 : INFO : EPOCH 1 - PROGRESS: at 6.66% examples, 7019 words/s, in_qsize 0, out_qsize 0
07-03 00:34:06 : INFO : EPOCH 1 - PROGRESS: at 6.75% examples, 7017 words/s, in_qsize 0, out_qsize 0
07-03 00:34:08 : INFO : EPOCH 1 - PROGRESS: at 6.90% examples, 7036 words/s, in_qsize 0, out_qsize 0
07-03 00:34:09 : INFO : EPOCH 1 - PROGRESS: at 6.99% examples, 7044 words/s, in_qsize 0, out_qsize 0
07-03 00:34:11 : INFO : EPOCH 1 - PROGRESS: at 7.08% examples, 6978 words/s, in_qsize 0, out_qsize 0
07-03 00:34:13 : INFO : EPOCH 1 - PROGRESS: at 7.16% examples, 6977 words/s, in_qsize 0, out_qsize 0
07-03 00:34:14 : INFO : EPOCH 1 - PROGRESS: at 7.24% examples, 6970 words/s, in_qsize 0, out_qsize 0
07-03 00:34:15 : INFO : EPOCH 1 - PROGRESS: at 7.32% examples, 6960 words/s, in_qsize 0, out_qsize 0
07-03 00:34:17 : INFO : EPOCH 1 - PROGRESS: at 7.40% examples, 6958 words/s, in_qsize 0, out_qsize 0
07-03 00:34:18 : INFO : EPOCH 1 - PROGRESS: at 7.49% examples, 6942 words/s, in_qsize 0, out_qsize 0
07-03 00:34:20 : INFO : EPOCH 1 - PROGRESS: at 7.57% examples, 6915 words/s, in_qsize 0, out_qsize 0
