07-03 09:00:54 : INFO : collecting all words and their counts
07-03 09:00:54 : INFO : PROGRESS: at sentence #0, processed 0 words, keeping 0 word types
07-03 09:10:06 : INFO : PROGRESS: at sentence #10000, processed 6746848 words, keeping 339961 word types
07-03 09:20:15 : INFO : PROGRESS: at sentence #20000, processed 13358501 words, keeping 522504 word types
07-03 09:20:49 : INFO : collected 530262 word types from a corpus of 13682655 raw words and 20494 sentences
07-03 09:20:49 : INFO : Loading a fresh vocabulary
07-03 09:20:49 : INFO : min_count=20 retains 48606 unique words (9% of original 530262, drops 481656)
07-03 09:20:49 : INFO : min_count=20 leaves 12496659 word corpus (91% of original 13682655, drops 1185996)
07-03 09:20:49 : INFO : deleting the raw counts dictionary of 530262 items
07-03 09:20:50 : INFO : sample=0.001 downsamples 15 most-common words
07-03 09:20:50 : INFO : downsampling leaves estimated 12284946 word corpus (98.3% of prior 12496659)
07-03 09:20:50 : INFO : estimated required memory for 48606 words and 300 dimensions: 140957400 bytes
07-03 09:20:50 : INFO : resetting layer weights
07-03 09:20:57 : INFO : training model with 6 workers on 48606 vocabulary and 300 features, using sg=0 hs=0 sample=0.001 negative=5 window=2
07-03 09:22:12 : INFO : EPOCH 1 - PROGRESS: at 5.47% examples, 8983 words/s, in_qsize 0, out_qsize 0
07-03 09:22:14 : INFO : EPOCH 1 - PROGRESS: at 5.54% examples, 8915 words/s, in_qsize 0, out_qsize 0
07-03 09:22:15 : INFO : EPOCH 1 - PROGRESS: at 5.61% examples, 8884 words/s, in_qsize 0, out_qsize 0
07-03 09:22:16 : INFO : EPOCH 1 - PROGRESS: at 5.67% examples, 8865 words/s, in_qsize 0, out_qsize 0
07-03 09:22:18 : INFO : EPOCH 1 - PROGRESS: at 5.81% examples, 8846 words/s, in_qsize 0, out_qsize 0
07-03 09:22:20 : INFO : EPOCH 1 - PROGRESS: at 5.88% examples, 8800 words/s, in_qsize 0, out_qsize 0
07-03 09:22:22 : INFO : EPOCH 1 - PROGRESS: at 6.02% examples, 8791 words/s, in_qsize 0, out_qsize 0
07-03 09:22:23 : INFO : EPOCH 1 - PROGRESS: at 6.08% examples, 8788 words/s, in_qsize 0, out_qsize 0
07-03 09:22:24 : INFO : EPOCH 1 - PROGRESS: at 6.15% examples, 8754 words/s, in_qsize 0, out_qsize 0
07-03 09:22:25 : INFO : EPOCH 1 - PROGRESS: at 6.22% examples, 8746 words/s, in_qsize 0, out_qsize 0
07-03 09:22:27 : INFO : EPOCH 1 - PROGRESS: at 6.36% examples, 8741 words/s, in_qsize 0, out_qsize 0
07-03 09:22:28 : INFO : EPOCH 1 - PROGRESS: at 6.43% examples, 8735 words/s, in_qsize 0, out_qsize 0
07-03 09:22:30 : INFO : EPOCH 1 - PROGRESS: at 6.56% examples, 8740 words/s, in_qsize 0, out_qsize 0
07-03 09:22:32 : INFO : EPOCH 1 - PROGRESS: at 6.70% examples, 8755 words/s, in_qsize 0, out_qsize 0
07-03 09:22:33 : INFO : EPOCH 1 - PROGRESS: at 6.83% examples, 8823 words/s, in_qsize 0, out_qsize 0
07-03 09:22:35 : INFO : EPOCH 1 - PROGRESS: at 6.97% examples, 8884 words/s, in_qsize 0, out_qsize 0
07-03 09:22:36 : INFO : EPOCH 1 - PROGRESS: at 7.11% examples, 8941 words/s, in_qsize 0, out_qsize 0
07-03 09:22:37 : INFO : EPOCH 1 - PROGRESS: at 7.24% examples, 9002 words/s, in_qsize 0, out_qsize 0
07-03 09:22:39 : INFO : EPOCH 1 - PROGRESS: at 7.38% examples, 9055 words/s, in_qsize 0, out_qsize 0
07-03 09:22:40 : INFO : EPOCH 1 - PROGRESS: at 7.52% examples, 9097 words/s, in_qsize 0, out_qsize 0
